movie,director,relation
无双 無雙,庄文强,DirectBy
肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,DirectBy
知否知否应是绿肥红瘦,张开宙,DirectBy
我不是药神,文牧野,DirectBy
新喜剧之王,周星驰,DirectBy
无名之辈,饶晓志,DirectBy
来电狂响,于淼,DirectBy
谁先爱上他的 誰先愛上他的,徐誉庭,DirectBy
谁先爱上他的 誰先愛上他的,许智彦,DirectBy
这个杀手不太冷 Léon,吕克·贝松,DirectBy
小偷家族 万引き家族,是枝裕和,DirectBy
绿皮书 Green Book,彼得·法雷里,DirectBy
摔跤吧！爸爸 Dangal,涅提·蒂瓦里,DirectBy
一出好戏,黄渤,DirectBy
霸王别姬,陈凯歌,DirectBy
你的名字。 君の名は。,新海诚,DirectBy
盗梦空间 Inception,克里斯托弗·诺兰,DirectBy
大江大河,孔笙,DirectBy
大江大河,黄伟,DirectBy
星际穿越 Interstellar,克里斯托弗·诺兰,DirectBy
网络谜踪 Searching,阿尼什·查甘蒂,DirectBy
阿甘正传 Forrest Gump,罗伯特·泽米吉斯,DirectBy
三傻大闹宝莱坞 3 Idiots,拉吉库马尔·希拉尼,DirectBy
千与千寻 千と千尋の神隠し,宫崎骏,DirectBy
地球最后的夜晚,毕赣,DirectBy
邪不压正,姜文,DirectBy
放牛班的春天 Les choristes,克里斯托夫·巴拉蒂,DirectBy
泰坦尼克号 Titanic,詹姆斯·卡梅隆,DirectBy
倩女幽魂,程小东,DirectBy
怦然心动 Flipped,罗伯·莱纳,DirectBy
王国 第一季 킹덤 Season 1,金成勋,DirectBy
让子弹飞,姜文,DirectBy
楚门的世界 The Truman Show,彼得·威尔,DirectBy
狗十三,曹保平,DirectBy
忠犬八公的故事 Hachi: A Dog's Tale,拉斯·霍尔斯道姆,DirectBy
影,张艺谋,DirectBy
波西米亚狂想曲 Bohemian Rhapsody,布莱恩·辛格,DirectBy
无问西东,李芳芳,DirectBy
少年派的奇幻漂流 Life of Pi,李安,DirectBy
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,普特鹏·普罗萨卡·那·萨克那卡林,DirectBy
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,华森·波克彭,DirectBy
七月与安生,曾国祥,DirectBy
海上钢琴师 La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,DirectBy
