names,countries,languages,pubdates,other_names,summary
无双 無雙,"['中国大陆', '香港']","['汉语普通话', '粤语', '英语', '泰语', '波兰语']","['2018-09-30(中国大陆)', '2018-10-04(香港)']","['ProjectGutenberg', 'Moseung']",身陷囹圄的李问（郭富城饰）被引渡回港，他原本隶属于一个的跨国假钞制贩组织。该组织曾犯下过多宗恶性案件，而首脑“画家”不仅始终逍遥法外，连真面目都没人知道。为了逼迫李问吐露“画家”真实身份，警方不惜用足以判死刑的假罪证使其就范。就在此时，富有的遗孀阮文（张静初饰）申请保释李问，而警方提出的条件依然是“画家”的真面目。原来早在十数年前，李问和阮文是一对画家情侣，无奈女友的作品受人青睐，李问的画作却被贬得一文不值。就在此困顿期间，他制作假画的才能被“画家”（周润发饰）发掘，进而成为对方美元假币团伙中的一员……
肖申克的救赎 The Shawshank Redemption,['美国'],['英语'],"['1994-09-10(多伦多电影节)', '1994-10-14(美国)']","['月黑高飞(港)', '刺激1995(台)', '地狱诺言', '铁窗岁月', '消香克的救赎']",20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯TimRobbins饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼MorganFreeman饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……本片根据著名作家斯蒂芬·金（StephenEdwinKing）的原著改编。
知否知否应是绿肥红瘦,['中国大陆'],['汉语普通话'],['2018-12-25(中国大陆)'],"['知否？知否？应是绿肥红瘦', '明兰传', 'TheStoryofMingLan']",故事发生在大宋年间。扬州通判盛紘的女儿明兰（赵丽颖饰）蕙质兰心，聪颖可人，可惜母亲偏为侧室，因此倍遭嫡母及其爪牙的忌恨。明兰听从母亲的临终嘱托，收敛锋芒，投靠盛老太太羽翼呵护。而在此期间，她与宁远侯府二公子顾廷烨（冯绍峰饰）从陌生到相知，后者更成为她人生中不可多得的贵人。母亲的离开并未让明兰从此安然，即使有老太太的呵护，盛府上下依然遍布明枪暗箭，随时威胁着她的安全。在这一过程中，明兰犹如浴火凤凰，忍辱负重，一步步闯过人生重重考验，用自己的力量追寻着人间公正和属于自己的幸福……本片根据关心则乱的同名小说改编。
我不是药神,['中国大陆'],"['汉语普通话', '英语', '上海话', '印地语']","['2018-07-05(中国大陆)', '2018-06-30(大规模点映)']","['中国药神', '印度药神', '印度药商', '生命之路', 'DyingtoSurvive', 'DrugDealer']",普通中年男子程勇（徐峥饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣饰），以及脾气暴烈的“黄毛”（章宇饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉饰）和瑞士正牌医药代表（李乃文饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。
新喜剧之王,"['中国大陆', '香港']","['汉语普通话', '粤语']",['2019-02-05(中国大陆)'],"['喜剧之王2', 'D计划', 'TheNewKingofComedy', 'KingofComedy2']",一直有个明星梦的小镇大龄女青年如梦跑龙套多年未果。她和父亲关系紧张，亲友都劝她放弃，只有男友查理还支持她。在剧组，如梦遇见了年少时启发她演戏的男演员马可。但此时过气多年的马可却因内心自卑而性情狂躁，对如梦百般折磨。如梦仍乐观坚持演戏，然而一次比一次沉重的打击却接踵而来，最后她决定放弃梦想，回到父母身边找了份稳定工作，但却得知自己入围了知名导演新片的大型选角。如梦陷入艰难抉择...
无名之辈,['中国大陆'],"['汉语普通话', '贵州话']",['2018-11-16(中国大陆)'],"['慌枪走板', 'ACoolFish']",来自乡村的笨贼眼镜（章宇饰）和大头（潘斌龙饰）抢了一家手机店，慌乱之中逃进坐着轮椅的单身女子嘉旗（任素汐饰）的家中。嘉旗早已失去活着的欲望，她强横地要求俩笨贼杀死自己。另一边，某楼盘老板资金链断裂跑路，留下保安马先勇（陈建斌饰）与讨债者周旋。马曾经是立功无数的协警，可就在转正的关头因为一场车祸毁了原本看似美好的一切。不久前他挖到一把喷子，原本打算交给当初的警察好友立功，却发现喷子被换成了水枪。而成为了新闻的手机抢劫案，让马先勇意识到喷子正在劫匪的手上。漫长的一天，所有与之相关的老老少少都在纠结煎熬。他们是渺小的无名之辈，却真真切切感受到来自命运的重压……
来电狂响,['中国大陆'],['汉语普通话'],['2018-12-28(中国大陆)'],"['中国版《完美陌生人》', '手机狂响', 'KillMobile']",某天，久不谋面的老同学相约聚会。聚会在教师文伯（田雨饰）及其妻子戴戴（代乐乐饰）的家中举行。小人物吴小江（乔杉饰）和老婆李楠（霍思燕饰）、女强人韩笑（马丽饰）、不出名的编剧贾迪（佟大为饰）及其新结交的富家女友娇娇（奚梦瑶饰）相继到来。身为心理医生的戴戴的一番话，让李楠对老公吴小江看手机时鬼鬼祟祟的行为起了疑。之后在众人的提议下，他们决定玩一个游戏：所有人都把手机放在餐桌中央，期间无论哪部手机接到的微信、短信还是电话都必须当众宣读或接听。光鲜靓丽的外表之下，每个人都有着不想被他人知道的秘密。却仅仅以为一部手机，让各自真实的面目大白天下……
谁先爱上他的 誰先愛上他的,['台湾'],['汉语普通话'],"['2018-04-22(乌迪内远东电影节)', '2018-11-02(台湾)']",['DearEX'],刘三莲（谢盈萱饰）在丈夫宋正远（陈如山饰）去世后，发现宋正远将保险理赔金留给了自己的恋人——一个叫阿杰的男人（邱泽饰）。她决定带着儿子宋呈希（黄圣球饰）上门讨要说法，宋呈希却在与三莲大吵一架后，选择住进阿杰家。随着他们人生全貌的缓缓揭开，这个故事的底色也渐渐显露出来。
这个杀手不太冷 Léon,['法国'],"['英语', '意大利语', '法语']",['1994-09-14(法国)'],"['杀手莱昂', '终极追杀令(台)', '杀手里昂', 'Leon', 'Leon:TheProfessional']",里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……
小偷家族 万引き家族,['日本'],['日语'],"['2018-08-03(中国大陆)', '2018-05-13(戛纳电影节)', '2018-06-08(日本)']","['Shoplifters', 'UneAffairedeFamille', 'Manbikikazoku']",东京的都市丛林中央，残存着一栋古旧寒酸的老房子，这里局促地生活着柴田一家五口人。在工地当临时工的男人阿治（LilyFranky饰）经常带着儿子祥太（城桧吏饰）到超市盗窃生活用品，这一天，他们回家路上遇到了独自待在户外的四岁女孩由里（佐佐木美结饰）。妻子信代（安藤樱饰）起初极力主张将女孩送回父母身边，但当看到女孩原生家庭的状况时又心生恻隐。原本柴田家就靠着老奶奶初枝（树木希林饰）的养老金度日，而今多了一口人，自然更艰辛了几分。包括信代的妹妹亚纪（松冈茉优饰）在内，虽然一家人游走在贫困和违法的边缘，但笃深的羁绊将他们紧紧联系在一起，使他们的心不会随着冰冷的都市而寒冷下去……本片荣获第71届戛纳电影节金棕榈
